Policy_ID,Exposure,Driver_Age,Vehicle_Age,NCD,Region,Vehicle_Power,Claim_Count,Claim_Cost
POL000041,0.8342736562379941,19,18,5,Urban,Medium,0,0.0
POL000042,0.776870343522352,71,1,4,Rural,Medium,0,0.0
POL000043,0.7397792608821423,35,18,2,Rural,High,0,0.0
POL000044,0.5042956019265146,47,1,1,Suburban,Medium,0,0.0
POL000045,0.6560311583210583,25,9,0,Urban,Low,0,0.0
POL000046,0.7078722458080425,59,17,5,Urban,Medium,0,0.0
POL000047,1.0,46,12,2,Rural,Low,0,0.0
POL000048,0.8687236579136923,68,4,5,Urban,Medium,0,0.0
POL000049,0.44739196892745325,41,0,0,Urban,High,0,0.0
POL000050,0.864816793878959,27,14,4,Urban,Medium,0,0.0
POL000051,0.7229835439167367,33,6,0,Urban,Low,0,0.0
POL000052,0.6646155999388083,67,7,5,Suburban,Low,0,0.0
POL000053,0.9223352577681736,58,15,5,Urban,High,0,0.0
POL000054,1.0,71,6,5,Suburban,High,0,0.0
POL000055,0.9862560238232397,61,17,3,Urban,Low,0,0.0
POL000056,0.6321564953554724,77,13,2,Suburban,Medium,0,0.0
POL000057,0.7381575248297572,40,16,5,Urban,High,0,0.0
POL000058,0.8662526862807128,37,3,5,Suburban,,0,0.0
POL000059,0.9951090254244719,56,6,3,Suburban,Low,0,0.0
POL000060,0.704165152430942,20,16,5,Rural,Low,0,0.0
POL000061,0.7628682046672366,20,10,0,Urban,Low,0,0.0
POL000062,0.5787330051987944,48,4,3,Suburban,High,0,0.0
POL000063,0.5607586751838659,24,8,5,Urban,Medium,0,0.0
POL000064,0.9625051644788396,18,15,4,Suburban,Low,0,0.0
POL000065,1.0,73,18,2,Urban,High,0,0.0
POL000066,0.7855979756839333,44,7,0,Urban,Medium,0,0.0
POL000067,1.0,82,3,3,Urban,Low,0,0.0
POL000068,0.8723272050095269,56,4,2,Rural,Medium,0,0.0
POL000069,0.6709760490789751,20,18,2,Urban,High,0,0.0
POL000070,0.8722791211016828,76,8,0,Urban,High,0,0.0
POL000071,1.0,19,4,5,Suburban,Low,0,0.0
POL000072,0.7928347921780098,64,13,5,Urban,Low,0,0.0
POL000073,1.0,37,15,0,Urban,Low,0,0.0
POL000074,0.2760509791820511,44,13,2,Suburban,Low,0,0.0
POL000075,0.9643805008750448,36,0,2,Urban,Low,0,0.0
POL000076,0.8174094136476343,72,18,1,Rural,Medium,0,0.0
POL000077,0.7401985299068266,80,17,4,Rural,High,0,0.0
POL000078,0.8183521553071005,60,9,2,Rural,High,0,0.0
POL000079,0.40248621707982146,22,9,5,Urban,High,0,0.0
POL000080,0.7560656224324976,37,12,1,Suburban,High,0,0.0
POL000081,0.8714225143023493,78,13,0,Urban,,0,0.0
POL000082,1.0,79,17,1,Urban,,1,8440.507776354321
POL000083,0.6963459563452705,80,13,4,Suburban,Low,0,0.0
POL000084,0.6383012794213625,39,15,0,Urban,Low,0,0.0
POL000085,0.6996485912830928,55,15,4,Urban,Medium,0,0.0
POL000086,0.9830804235404149,29,9,0,Suburban,High,0,0.0
POL000087,0.865750221931937,78,2,4,Suburban,High,0,0.0
POL000088,0.6940479592465922,65,19,4,Urban,Low,0,0.0
POL000089,0.9026534866226713,34,2,1,Urban,Low,0,0.0
POL000090,0.8194155098696081,69,4,0,Urban,Medium,0,0.0
POL000091,0.9937289981065779,63,9,2,Urban,High,0,0.0
POL000092,0.6595893812245296,73,4,0,Suburban,Medium,0,0.0
POL000093,0.7344675706804464,46,15,5,Suburban,,0,0.0
POL000094,0.7215783693735685,68,9,3,Urban,Medium,0,0.0
POL000095,0.5072970103735763,43,3,5,Suburban,High,0,0.0
POL000096,0.8592240554129152,46,17,4,Urban,Low,0,0.0
POL000097,0.8522110544359779,76,4,4,Rural,Low,0,0.0
POL000098,0.8010226913284922,25,8,5,Urban,Medium,0,0.0
POL000099,0.7530825733249706,42,0,4,Suburban,Medium,0,0.0
POL000100,0.5169258515899171,38,3,0,Urban,High,1,3915.8414807277345
POL000101,0.7158709354469283,21,1,3,Urban,,0,0.0
POL000102,0.7314570966946461,53,9,3,Suburban,,0,0.0
POL000103,0.6395445461556762,60,12,5,Urban,High,0,0.0
POL000104,0.7677428576667982,43,16,1,Suburban,Medium,0,0.0
POL000105,0.8808101713629077,53,7,3,Rural,Medium,0,0.0
POL000106,1.0,40,1,2,Rural,Low,0,0.0
POL000107,0.8349155625663678,58,0,4,Urban,Medium,0,0.0
POL000108,0.8515100781445529,61,19,5,Urban,Medium,0,0.0
POL000109,0.7851108168467666,67,3,4,Urban,Medium,0,0.0
POL000110,0.4162457569401917,26,4,1,Suburban,Low,0,0.0
POL000111,0.7946972249101567,64,13,0,Rural,Medium,0,0.0
POL000112,0.8120460419882053,58,13,3,Rural,Medium,0,0.0
POL000113,1.0,30,1,5,Suburban,Low,0,0.0
POL000114,0.7615278070437755,75,11,2,Suburban,Medium,0,0.0
POL000115,0.8603094684667225,83,1,2,Suburban,High,0,0.0
POL000116,0.7930576460589513,75,12,5,Urban,High,0,0.0
POL000117,0.5662643924760936,83,7,4,Urban,Medium,0,0.0
POL000118,1.0,50,18,4,Urban,Low,0,0.0
POL000119,0.9503866065373548,44,15,3,Suburban,Low,0,0.0
POL000120,0.9582063894086095,67,10,5,Suburban,Low,0,0.0
POL000121,0.6181225090410523,76,0,1,Suburban,,0,0.0
POL000122,1.0,44,16,4,Urban,High,0,0.0
POL000123,0.5196297874415439,76,5,2,Suburban,Low,0,0.0
POL000124,0.9173714187600541,73,1,1,Urban,Low,0,0.0
POL000125,1.0,51,6,1,Suburban,High,0,0.0
POL000126,0.6018927349738623,66,0,1,Suburban,Medium,0,0.0
POL000127,0.6867404540794456,34,15,2,Suburban,Medium,0,0.0
POL000128,0.8199302730175283,55,12,3,Urban,Low,0,0.0
POL000129,0.6993048691767602,18,2,5,Rural,Low,0,0.0
POL000130,0.4898673137867735,55,6,1,Suburban,Low,0,0.0
POL000131,0.8137125949612055,43,17,4,Urban,Medium,0,0.0
POL000132,0.5875392572547791,42,6,4,Urban,,0,0.0
POL000133,0.8947184861270363,75,11,2,Urban,High,0,0.0
POL000134,0.6161151531532394,62,7,3,Rural,Medium,0,0.0
POL000135,1.0,39,5,5,Suburban,,1,462.9451197807276
POL000136,0.6433493415327526,65,13,5,Urban,Medium,0,0.0
POL000137,0.7355876967588649,30,19,0,Urban,High,0,0.0
POL000138,0.962703443473934,42,1,3,Urban,Medium,0,0.0
POL000139,0.553827136713209,27,13,4,Urban,Medium,0,0.0
POL000140,0.8454919869208259,35,2,4,Suburban,Medium,0,0.0
POL000141,1.0,72,14,2,Suburban,Low,0,0.0
POL000142,0.4785033530877545,44,17,1,Suburban,High,0,0.0
POL000143,0.8369267717064609,73,7,3,Suburban,High,0,0.0
POL000144,0.8519765588496847,73,7,5,Rural,Low,0,0.0
POL000145,0.9563645743554621,66,5,4,Urban,Medium,0,0.0
POL000146,0.5526098578243837,43,8,3,Suburban,Medium,0,0.0
POL000147,0.5359086773831447,19,6,0,Urban,Low,0,0.0
POL000148,0.9043883131233796,77,2,4,Rural,Low,0,0.0
POL000149,0.8593969346466372,55,15,4,Rural,High,0,0.0
POL000150,0.8500985700691753,20,19,3,Rural,Medium,0,0.0
POL000151,0.8692896418993952,70,6,2,Rural,High,0,0.0
POL000152,0.6639950556843018,61,17,0,Urban,Medium,0,0.0
POL000153,0.8464507394322007,40,18,4,Urban,Medium,0,0.0
POL000154,0.8586144946597363,45,1,4,Urban,Medium,0,0.0
POL000155,0.6571297163947265,49,14,4,Urban,High,0,0.0
POL000156,1.0,37,3,4,Rural,Medium,0,0.0
POL000157,0.8947665841823575,23,7,1,Urban,Low,1,2480.49969125043
POL000158,0.5617393005594703,20,18,0,Urban,Medium,1,1543.932074947303
POL000159,0.931310721726766,20,8,0,Urban,High,0,0.0
POL000160,0.6050636659545358,40,10,1,Rural,High,0,0.0
POL000161,0.9574169207484905,50,6,0,Urban,High,0,0.0
POL000162,1.0,53,0,3,Urban,Low,0,0.0
POL000163,0.635863536329658,81,17,1,Rural,High,0,0.0
POL000164,0.9926752258488645,29,3,1,Rural,Low,1,2285.7448555349933
POL000165,0.8825561853872997,79,7,1,Urban,High,0,0.0
POL000166,0.964412031998898,43,18,4,Urban,Low,0,0.0
POL000167,1.0,54,1,0,Urban,High,0,0.0
POL000168,0.750922376799426,65,9,3,Suburban,Medium,0,0.0
POL000169,0.6492527671285021,61,3,1,Urban,Medium,1,2314.9525516008266
POL000170,0.6220971140748954,28,10,2,Urban,Medium,0,0.0
POL000171,0.6368379430069124,41,3,5,Suburban,Medium,0,0.0
POL000172,0.7845796581171792,36,2,3,Urban,High,0,0.0
POL000173,0.8682303949633288,73,18,2,Urban,High,0,0.0
POL000174,0.8553381598660038,66,5,1,Rural,Low,0,0.0
POL000175,0.9654366498072048,74,3,2,Urban,Medium,1,2884.9600170155454
POL000176,0.8026003783755814,28,13,5,Rural,Medium,0,0.0
POL000177,1.0,80,15,1,Urban,Medium,0,0.0
POL000178,0.7470686333524088,34,6,4,Urban,Low,0,0.0
POL000179,1.0,32,6,3,Suburban,Medium,0,0.0
POL000180,0.9251334695530014,79,4,1,Rural,Low,0,0.0
POL000181,0.6285684887167435,49,3,3,Rural,Low,0,0.0
POL000182,0.5858215003877776,57,10,0,Urban,Low,0,0.0
POL000183,0.8964944830486371,28,15,1,Urban,Low,0,0.0
POL000184,0.7553074429348299,30,7,5,Rural,Low,0,0.0
POL000185,0.9428000988184184,45,4,4,Urban,Low,1,3355.9015911253855
POL000186,0.894647524914709,45,14,4,Rural,Low,0,0.0
POL000187,0.7854342174686255,65,10,4,Urban,High,0,0.0
POL000188,0.6306412563863191,72,11,0,Urban,Medium,0,0.0
POL000189,0.4970305550628271,33,2,1,Urban,Medium,0,0.0
POL000190,0.7106970095865959,53,14,2,Urban,Low,0,0.0
POL000191,0.9712797588646945,57,15,5,Urban,Medium,0,0.0
POL000192,0.8428187488260408,37,14,2,Urban,High,0,0.0
POL000193,0.5508522442576025,19,6,3,Urban,Medium,0,0.0
POL000194,0.8346361851702364,19,16,4,Suburban,Low,0,0.0
POL000195,0.8770634759457674,67,4,4,Urban,Low,0,0.0
POL000196,0.6232285127597734,65,7,2,Suburban,High,0,0.0
POL000197,0.8307450211891056,41,8,0,Urban,Medium,2,4381.245379191779
POL000198,0.8116417436892001,26,0,1,Rural,Medium,0,0.0
POL000199,0.5714059404338754,57,2,5,Urban,Medium,0,0.0
POL000200,0.8715574720696567,57,0,2,Suburban,High,0,0.0
POL000201,0.9121569052736469,19,15,3,Urban,High,0,0.0
POL000202,1.0,23,10,5,Urban,High,0,0.0
POL000203,1.0,36,3,5,Suburban,Low,0,0.0
POL000204,0.5244661264085818,36,1,1,Urban,Medium,0,0.0
POL000205,0.6124349920169755,50,3,2,Urban,High,0,0.0
POL000206,0.903007053441732,78,9,2,Rural,High,0,0.0
POL000207,0.9027571901824418,47,17,3,Suburban,Low,0,0.0
POL000208,0.9030095372612097,79,16,2,Urban,Low,0,0.0
POL000209,1.0,30,12,2,Rural,Low,0,0.0
POL000210,0.9141781021386335,35,7,3,Urban,Medium,0,0.0
POL000211,1.0,19,11,5,Rural,High,0,0.0
POL000212,0.9908003526986405,20,9,3,Suburban,Medium,0,0.0
POL000213,0.9302782502611596,23,0,4,Rural,Medium,0,0.0
POL000214,0.736946151071931,45,10,5,Urban,Low,0,0.0
POL000215,0.9517938440986535,49,14,2,Suburban,,0,0.0
POL000216,0.6454349570924857,77,17,4,Suburban,Low,0,0.0
POL000217,0.7526362786519982,48,9,3,Urban,,0,0.0
POL000218,0.7029272904341793,78,16,2,Urban,Low,0,0.0
POL000219,0.8163748278772646,26,19,2,Urban,Low,0,0.0
POL000220,1.0,84,17,1,Rural,High,0,0.0
POL000221,0.4265469614816504,71,17,0,Urban,Low,1,1198.9717142834618
POL000222,0.9372520380749028,34,11,5,Urban,Low,0,0.0
POL000223,0.4774568257620697,76,16,2,Suburban,Medium,0,0.0
POL000224,0.7056136268421134,48,9,3,Urban,Low,0,0.0
POL000225,1.0,78,10,4,Rural,High,0,0.0
POL000226,0.8128560038190926,57,12,1,Rural,High,0,0.0
POL000227,0.5844510444141389,20,16,2,Urban,Low,0,0.0
POL000228,0.6569392581480064,67,15,4,Suburban,High,0,0.0
POL000229,0.9359195497869353,18,2,1,Rural,Medium,0,0.0
POL000230,0.6539266736565728,25,11,3,Urban,,0,0.0
POL000231,0.843291717916395,79,8,0,Rural,Low,0,0.0
POL000232,0.8091143679807627,81,16,5,Suburban,Low,0,0.0
POL000233,0.6696799304788366,58,13,3,Suburban,Medium,0,0.0
POL000234,1.0,34,11,3,Suburban,Low,0,0.0
POL000235,0.9267838044636023,60,3,0,Urban,Low,0,0.0
POL000236,0.3949714826684786,19,7,0,Urban,Low,0,0.0
POL000237,0.8372908629538856,64,8,2,Suburban,High,0,0.0
POL000238,0.6676427070463224,77,16,2,Urban,Low,0,0.0
POL000239,0.9704866669592449,66,15,0,Rural,Medium,0,0.0
POL000240,0.64149585231346,32,18,0,Urban,Medium,0,0.0
POL000241,0.7770527117066203,67,13,2,Suburban,Medium,0,0.0
POL000242,0.9009974557960915,63,1,0,Urban,High,0,0.0
POL000243,0.9731510388340243,19,8,2,Rural,Low,0,0.0
POL000244,0.5599407185888448,46,9,5,Urban,High,0,0.0
POL000245,0.7330997528318104,46,19,3,Suburban,Medium,1,3227.4486415987844
POL000246,0.7050109377678088,78,4,4,Suburban,Low,0,0.0
POL000247,0.6693341534852577,83,1,5,Suburban,High,0,0.0
POL000248,1.0,61,19,0,Urban,Medium,0,0.0
POL000249,0.8809963421921911,21,15,5,Suburban,Low,0,0.0
POL000250,0.547823209132991,56,6,5,Urban,Low,0,0.0
POL000251,0.9835723894109553,77,15,3,Rural,Low,0,0.0
POL000252,1.0,66,1,2,Urban,Medium,0,0.0
POL000253,1.0,22,19,2,Urban,Low,0,0.0
POL000254,0.49612600680919733,83,2,0,Rural,High,0,0.0
POL000255,0.7031531854267498,62,6,0,Urban,Low,0,0.0
POL000256,1.0,77,10,4,Suburban,High,0,0.0
POL000257,0.6584661068762439,25,4,3,Rural,Low,0,0.0
POL000258,0.8887638856292457,67,17,3,Urban,Medium,0,0.0
POL000259,0.9549268106858674,53,3,3,Suburban,Medium,0,0.0
POL000260,0.6146139056843835,58,10,1,Urban,Medium,0,0.0
POL000261,0.78809492878764,27,10,4,Suburban,High,0,0.0
POL000262,0.15174653198618548,53,9,4,Urban,Low,0,0.0
POL000263,0.595122471733142,31,10,5,Urban,Low,0,0.0
POL000264,0.749486369721368,34,18,5,Rural,Low,0,0.0
POL000265,0.5504433636070302,38,6,2,Urban,Low,0,0.0
POL000266,1.0,71,16,5,Suburban,High,0,0.0
POL000267,0.5139717244078734,30,6,0,Suburban,Low,0,0.0
POL000268,0.7119911026606033,65,1,2,Suburban,Low,0,0.0
POL000269,0.8261481154572183,62,3,5,Urban,Medium,0,0.0
POL000270,1.0,26,9,2,Suburban,High,0,0.0
POL000271,0.5128275697641121,72,19,2,Urban,High,0,0.0
POL000272,1.0,67,14,4,Urban,Low,1,3379.9531438893814
POL000273,0.8020466122039175,37,13,3,Urban,Low,0,0.0
POL000274,0.6036982697904099,57,18,5,Suburban,,0,0.0
POL000275,0.8924206948526542,18,4,4,Suburban,Low,0,0.0
POL000276,0.8398119391146941,81,16,5,Rural,Low,0,0.0
POL000277,0.6799566245682411,52,9,2,Urban,Medium,0,0.0
POL000278,0.8139604169980038,82,8,4,Urban,Medium,0,0.0
POL000279,0.722937280627648,70,4,4,Suburban,Medium,0,0.0
POL000280,0.8227034690502496,78,17,4,Suburban,High,0,0.0
POL000281,0.9324261349042093,22,9,1,Suburban,Medium,0,0.0
POL000282,1.0,77,9,4,Urban,Low,0,0.0
POL000283,0.5524369002346302,36,19,1,Urban,High,0,0.0
POL000284,1.0,74,1,3,Urban,Low,0,0.0
POL000285,0.40958244009549966,25,17,1,Rural,Medium,0,0.0
POL000286,0.7696429809928834,35,17,1,Suburban,Low,0,0.0
POL000287,0.9176634412969153,28,18,3,Urban,Medium,0,0.0
POL000288,0.8561983735470066,79,14,2,Urban,Medium,0,0.0
POL000289,0.6754600960358813,47,3,2,Suburban,Medium,0,0.0
POL000290,0.758375549928545,22,14,0,Suburban,High,0,0.0
POL000291,0.7013998130682335,73,19,2,Urban,Medium,0,0.0
POL000292,0.6821270486111577,53,5,5,Urban,,1,1465.981385150026
POL000293,0.969920419404205,44,0,3,Rural,High,0,0.0
POL000294,0.8714030971930096,49,12,5,Urban,Low,0,0.0
POL000295,0.6614180809478691,31,3,2,Suburban,Medium,0,0.0
POL000296,0.9799199750866502,58,2,5,Suburban,Low,0,0.0
POL000297,0.8614599041753219,83,16,5,Urban,Medium,0,0.0
POL000298,0.9625724237677921,21,6,0,Urban,Medium,0,0.0
POL000299,0.9259257683847225,28,7,4,Suburban,Low,0,0.0
POL000300,0.6342009978155856,65,16,1,Suburban,Low,0,0.0
POL000301,0.6879637919606061,54,19,0,Rural,Medium,0,0.0
POL000302,0.9494587210246525,30,9,1,Suburban,Medium,0,0.0
POL000303,0.922074053086693,59,18,2,Urban,Low,0,0.0
POL000304,0.7958196812071704,44,13,5,Urban,Medium,0,0.0
POL000305,0.8234654766617564,83,3,0,Suburban,Low,0,0.0
POL000306,1.0,64,5,2,Suburban,Low,0,0.0
POL000307,0.6816857222328341,29,13,1,Urban,High,0,0.0
POL000308,0.9094194762340077,84,7,5,Urban,Low,0,0.0
POL000309,0.7595614695132212,43,12,5,Suburban,Medium,0,0.0
POL000310,0.756463759354556,44,19,5,Urban,Medium,0,0.0
POL000311,1.0,52,14,0,Urban,,0,0.0
POL000312,0.9650832697976061,30,17,5,Suburban,Low,0,0.0
POL000313,0.9627019272001278,73,3,0,Rural,Medium,1,2454.5536328297558
POL000314,1.0,60,10,4,Rural,Low,0,0.0
POL000315,0.8042007683265519,76,8,1,Urban,,0,0.0
POL000316,0.9363905942589928,29,13,5,Suburban,Low,0,0.0
POL000317,0.7379466486813089,46,11,4,Urban,Low,1,2432.5123246565277
POL000318,0.8648332704976884,22,18,2,Urban,Low,0,0.0
POL000319,0.7739713891264631,66,11,0,Suburban,High,0,0.0
POL000320,0.8193991929985437,81,7,1,Suburban,Medium,0,0.0
POL000321,0.9190314050873828,60,1,2,Rural,High,0,0.0
POL000322,0.6363558633533055,83,0,0,Urban,Low,0,0.0
POL000323,1.0,23,10,5,Urban,Low,0,0.0
POL000324,0.5987965237000596,32,15,3,Urban,Medium,0,0.0
POL000325,0.5571622774424536,35,12,0,Rural,Medium,0,0.0
POL000326,1.0,66,4,1,Urban,Low,0,0.0
POL000327,0.9583325387925872,64,3,4,Urban,Low,0,0.0
POL000328,0.924823963410431,19,4,4,Urban,Medium,0,0.0
POL000329,0.925669101852856,22,7,1,Urban,High,0,0.0
POL000330,0.7975506454306172,54,7,3,Suburban,High,1,1380.1309610008166
POL000331,0.6205491257028337,23,8,3,Urban,Medium,0,0.0
POL000332,0.8151609116387453,59,12,2,Urban,Low,0,0.0
POL000333,0.6645676576975776,68,19,2,Urban,Low,0,0.0
POL000334,0.9950239466835503,33,19,5,Suburban,,0,0.0
POL000335,0.7705885236995723,84,14,0,Urban,Medium,0,0.0
POL000336,0.6349005606414977,47,18,2,Urban,Medium,0,0.0
POL000337,0.7357228316694013,44,19,3,Urban,Medium,0,0.0
POL000338,0.882586290855125,59,7,3,Urban,,1,1386.1774599638238
POL000339,0.6872550894392051,81,3,4,Suburban,Medium,0,0.0
POL000340,0.6355559208867138,67,4,2,Urban,Low,0,0.0
POL000341,0.8487374422983825,56,13,1,Suburban,High,0,0.0
POL000342,0.8489933142217446,24,5,1,Urban,Medium,0,0.0
POL000343,0.6986113649257741,33,3,3,Urban,High,0,0.0
POL000344,0.7057923388763355,73,12,3,Suburban,Low,0,0.0
POL000345,0.8464099874715273,28,19,4,Rural,Medium,0,0.0
POL000346,0.5103831317005352,26,5,5,Suburban,Medium,0,0.0
POL000347,0.518507245124689,18,1,5,Urban,High,0,0.0
POL000348,0.6563111557495128,61,10,1,Urban,,0,0.0
POL000349,0.7573105696576306,52,2,4,Suburban,High,0,0.0
POL000350,0.862181513119601,68,6,5,Urban,Low,0,0.0
POL000351,1.0,25,8,4,Urban,,0,0.0
POL000352,0.9715319246404039,54,1,5,Suburban,Medium,0,0.0
POL000353,0.7680122940073146,22,9,2,Rural,High,0,0.0
POL000354,0.7961967584194622,38,13,0,Urban,High,0,0.0
POL000355,0.5994941270724383,22,3,2,Suburban,Medium,0,0.0
POL000356,0.796297372801522,40,11,3,Suburban,Medium,0,0.0
POL000357,0.7422682722159724,74,13,2,Suburban,Medium,0,0.0
POL000358,0.8645437120676179,82,12,1,Urban,High,0,0.0
POL000359,0.6345538112895355,42,5,0,Suburban,Medium,0,0.0
POL000360,0.9038693028482345,36,11,3,Urban,High,0,0.0
POL000361,1.0,19,12,0,Suburban,Low,0,0.0
POL000362,0.7782479703086285,29,6,5,Urban,Low,0,0.0
POL000363,0.8803423444197883,59,0,5,Urban,Low,0,0.0
POL000364,0.9380287983422225,42,16,4,Urban,Medium,0,0.0
POL000365,0.7197559056228328,65,16,1,Urban,Medium,0,0.0
POL000366,0.8448184963620834,48,1,4,Urban,Medium,0,0.0
POL000367,0.8025184801563591,75,12,2,Suburban,Low,0,0.0
POL000368,0.8195352197097664,78,14,1,Suburban,Medium,0,0.0
POL000369,0.6453980432289067,61,13,3,Rural,High,0,0.0
POL000370,0.8049020348517886,26,5,3,Suburban,Low,0,0.0
POL000371,0.8995996582490899,38,9,2,Urban,Low,0,0.0
POL000372,1.0,71,2,2,Urban,Medium,0,0.0
POL000373,0.9918541652170414,30,3,3,Suburban,Medium,0,0.0
POL000374,1.0,30,13,3,Suburban,Medium,0,0.0
POL000375,0.6465304874223902,69,9,4,Urban,High,0,0.0
POL000376,0.9744641273441357,45,4,0,Urban,Medium,0,0.0
POL000377,0.8366684011476704,63,10,4,Suburban,Medium,0,0.0
POL000378,1.0,65,19,5,Urban,Medium,0,0.0
POL000379,0.6383403429289698,57,16,2,Urban,Medium,0,0.0
POL000380,0.6320556315638448,71,17,2,Rural,Medium,0,0.0
POL000381,0.6801214709111956,44,2,3,Suburban,Medium,0,0.0
POL000382,0.37522085513803866,20,7,3,Urban,Medium,0,0.0
POL000383,0.6948489956638478,76,13,1,Urban,Medium,0,0.0
POL000384,0.6481734676892604,35,9,5,Urban,Low,0,0.0
POL000385,0.8300787572952416,41,12,1,Urban,Low,0,0.0
POL000386,0.8683511951554319,78,13,0,Urban,Low,0,0.0
POL000387,1.0,74,14,4,Urban,Low,0,0.0
POL000388,0.9900847676372101,61,5,4,Suburban,High,0,0.0
POL000389,0.6846192688675194,64,19,3,Suburban,High,0,0.0
POL000390,0.6203170657303284,54,0,2,Urban,Low,0,0.0
POL000391,0.8983838343013012,54,18,1,Urban,Medium,0,0.0
POL000392,0.5359533585958716,62,17,0,Urban,Low,0,0.0
POL000393,1.0,47,15,5,Rural,Low,0,0.0
POL000394,1.0,32,8,5,Suburban,Low,0,0.0
POL000395,0.7061648695790591,44,18,2,Urban,Medium,0,0.0
POL000396,0.45737309418182454,64,3,3,Rural,Medium,0,0.0
POL000397,1.0,64,17,0,Suburban,,0,0.0
POL000398,0.7770920309494764,48,19,1,Suburban,Medium,0,0.0
POL000399,1.0,32,3,1,Rural,Medium,0,0.0
POL000400,0.4811144682411266,71,4,4,Suburban,Low,0,0.0
POL000401,0.6801249954092454,59,18,1,Urban,High,0,0.0
POL000402,0.8010487399436367,79,13,1,Suburban,Low,0,0.0
POL000403,0.8093961187529485,42,4,0,Suburban,Low,0,0.0
POL000404,0.7099869057041513,29,5,5,Urban,Medium,0,0.0
POL000405,0.9245699864694998,26,18,1,Rural,High,0,0.0
POL000406,0.5864759141234812,54,1,4,Urban,High,0,0.0
POL000407,0.7715241029957414,26,8,2,Suburban,High,0,0.0
POL000408,0.8240591263423798,72,10,5,Suburban,Low,0,0.0
POL000409,0.9028877668117499,63,3,1,Suburban,High,0,0.0
POL000410,0.942322975617778,58,13,3,Suburban,Low,0,0.0
POL000411,0.5750715816324262,24,15,0,Urban,Medium,0,0.0
POL000412,0.4931771658528756,22,0,1,Urban,High,0,0.0
POL000413,1.0,69,6,5,Rural,Low,0,0.0
POL000414,0.8664628023959183,54,1,0,Urban,Low,0,0.0
POL000415,0.6503026926886893,77,12,4,Urban,Low,0,0.0
POL000416,1.0,53,16,1,Urban,,0,0.0
POL000417,0.8231349268585718,18,16,5,Suburban,Low,0,0.0
POL000418,1.0,18,1,4,Suburban,Low,0,0.0
POL000419,0.8135036962820218,77,10,1,Urban,Low,0,0.0
POL000420,1.0,58,18,2,Rural,Low,0,0.0
POL000421,1.0,82,18,4,Urban,Medium,0,0.0
POL000422,0.7502071703041854,25,9,3,Urban,High,0,0.0
POL000423,0.9943141901908712,58,7,0,Rural,Low,0,0.0
